青あざ,あおなじみ
私,あて
わたし,あて
ワタシ,あて
あたし,あて
俺,あて
おれ,あて
オレ,あて
僕,あて
ぼく,あて
ボク,あて
擦り剥い,あかんぺろん
擦りむい,あかんぺろん
すりむい,あかんぺろん
皮が剥がれた,あかんぺろん
何ですか,あに
何だと,あに
なんだと,あに
何…だと…,あ…に…
なん…だと…,あ…に…
何．．．だと．．．,あ．．．に．．．
なん．．．だと．．．,あ．．．に．．．
何,あに
どうした,あじした
どうしました,あじした
どういたしました,あじした
どういたしましたか,あじした
どうかいたしましたか,あじした
どうする,あじする
どう？,あじょうだ？
どうしようもないね,あてこともねー 
どうしようもない,あてこともねー 
救いようがない,あてこともねー 
いいや。,いらねぇ。
いや、,あんが
いやいや、,あんが、
いいえ、,あんが、
いいえ。,あんが。
ヒキガエル,あんご
蛙,あんご
カエル,あんご
かえる,あんご
何でもない,あんでんねー
なんてことない,あんでんねー
なんてことはない,あんでんねー
良い天気,いいあんばい
いい天気,いいあんばい
イイ天気,いいあんばい
ピーカン,いいあんばい
イワガニ,いそっぴ 
イソガニ,いそっぴ 
ヒライソガニ,いそっぴ 
蟹,いそっぴ 
カニ,いそっぴ 
かに,いそっぴ 
たくさん,いっぺえ
いっぱい,いっぺえ
一杯,いっぺえ
大量,いっぺえ
捨てる,うっちゃる
捨てよう,うっちゃんべ
捨て去り,うっちゃって
捨てさり,うっちゃって
棄て去り,うっちゃって
棄てさり,うっちゃって
棄てる,うっちゃる
棄てよう,うっちゃんべ
すてる,うっちゃる
すてよう,うっちゃんべ
ポイする,うっちゃる
放っておく,うっちゃる
放り投げて,うっちゃって
放り投げ,うっちゃり
放って,うっちゃって
相手を圧倒させ,うならかす
相手を圧倒する,うならかす
相手を圧倒,うならかす
圧倒する,うならかす
圧倒！,うならかす
急いで,うならかす
急いでやる,うならかす
急いでやる,うならかす
耕す,うなう
後ろ,うら 
うしろ,うら 
背面,うら 
裏,うら 
裏面,うら 
重たい,うんてえ
重い,うんてえ
重さの,うんてえ
おもさ,うんてえ
ヘビー,うんてえ
捕まえる,おせる
教える,おせる
そうだよ,おいさ
そうですよ,おいさ
駄目,おいねぇ
駄目ですね,おいないですね
ダメ,おいねぇ
無理,おいねぇ
無理ですね,おいないですね
ムリ,おいねぇ
不可能,おいねぇ
不可能ですね,おいないですね
インポッシブル,おいねぇ
いけないな,おいない
いけない,おいない
良くない,おいない
悪い,おいない
こら！,おいもんかい！
コラ！,おいもんかい！
いいよ,おぅよ 
オッケー,おぅよ 
おこりん坊,おごいぼぅ
押す,おっぺす
押して,おっぺして
味噌汁,おみおつけ
みそ汁,おみおつけ
みそしる,おみおつけ
ミソ汁,おみおつけ
あなたらが,おめぇらが
あなた方の家では,おめぇらがじゃ
あなた方の家じゃ,おめぇらがじゃ
お宅では,おめぇらがじゃ
お宅じゃ,おめぇらがじゃ
我が家の,おらが
私の家の,おらが
私達,おんだら
私たち,おんだら
わたしたち,おんだら
我々,おんだら
我われ,おんだら
われわれ,おんだら
吾々,おんだら
転倒してしまった,おっけっちまった
転倒する,おっける
転倒！,おっけった！
転んじゃったよ,おっけえっちったーお
転んでしまった,おっけっちまった
転んでしまい,おっけっちまって
転んだ,おっけっちまった
転んで,おっけっちまった
転ぶ,おっける
ころんだ,おっけっちまった
ころぶ,おっける
折れ,おんごしょる
馬鹿,かぁかぁ 
ばか,かぁかぁ 
バカ,かぁかぁ 
阿呆,かぁかぁ 
あほう,かぁかぁ 
あほ,かぁかぁ 
アホ,かぁかぁ 
頭が悪い,かぁかぁ 
殴る,かっくらす
阿呆か,かってぼさぁ
あほか,かってぼさぁ
アホか,かってぼさぁ
かしら,かし
かぶれる,かせる
挟む,かます
はさむ,かます
川魚,かわばち
?き回す,かんます
?きまわす,かんます
かき回す,かんます
痛くなる,きばる
痛くなって,きばっちって
痛みがある,きばる
痛みがあって,きばっちって
むかつく,きもいる
ムカつく,きもいる
ムカツク,きもいる
腹が立つ,きもいる
ハラが立つ,きもいる
ハラタツノリ,きもいる
噛む,くっかぐ
噛んで,くっかいで
ください,くったい
ていってください,てってくったい
崩れる,くむ
壊れる,くむ
崩れていた,つっくんでた
壊れていた,つっくんでた
崩壊していた,つっくんでた
か。,け。
食べない,かぁねぇ
口にしない,かぁねぇ
食え,けぇ
喰え,けぇ
食べ,かぁ
喰べ,かぁ
食う,かぁ
喰う,かぁ
帰還する,けえる
帰宅する,けえる
帰宅します,けえる
帰るから,けぇっかい
帰ろうぜ,けえんべよ
帰ろうよ,けえんべよ
帰る,けえる
嘔吐物,げっぽ
吐しゃ物,げっぽ
硬い,こええ
くすぐったい,こちょぐってぇ
屁理屈,こっぺ
へりくつ,こっぺ
ヘリクツ,こっぺ
端,こばっこ
端っこ,こばっこ
はじっこ,こばっこ
すみっコ,こばっこ
久しぶり,さーしぶりだね
お久しぶり,さーしぶりだね
ご無沙汰しております,さーしぶりだね
ご無沙汰しています,さーしぶりだね
ご無沙汰です,さーしぶりだね
ご無沙汰,さーしぶり
久し,さーし
じゃないか,だで
門前,じょうぼ
門の前,じょうぼ
家の前の通路,じょうぼ
おたまじゃくし,じょんごろ
オタマジャクシ,じょんごろ
凄く大きい,すてれっぱつ
すごく大きい,すてれっぱつ
スゴク大きい,すてれっぱつ
めっちゃ大きい,すてれっぱつ
メッチャ大きい,すてれっぱつ
メッチャでかい,すてれっぱつ
メッチャデカイ,すてれっぱつ
めちゃ大きい,すてれっぱつ
めちゃデカい,すてれっぱつ
メチャ大きい,すてれっぱつ
メチャデカい,すてれっぱつ
とんでもなく大きい,すてれっぱつ
トンデモなく大きい,すてれっぱつ
とんでもなくでかい,すてれっぱつ
トンデモなくでかい,すてれっぱつ
とんでもなくデカい,すてれっぱつ
とんでもなくデカイ,すてれっぱつ
トンデモなくデカい,すてれっぱつ
トンデモなくデカイ,すてれっぱつ
クソデカい,すてれっぱつ
クソデカイ,すてれっぱつ
大変大きい,すてれっぱつ
大きい,ずんねぇ
デッカい,ずんねぇ
デッカイ,ずんねぇ
裏山,せど山
そうだよね,そうだいねぇ
そうですよね,そうだいねぇ
そうよね,そうだいねぇ
近く,そば
近所,そば
周辺,そば
界隈,そば
近隣,そば
この辺,そば
其の辺,そば
其辺,そば
付近,そば
だけれども,だけんが
牛糞,たんご
肥やし,たんご
散らかっている,だんみゃく
散らかってる,だんみゃく
小さい,ちいちゃっけぇ
アゴハゼ,ちょんぴこ
アゴハゼ属,ちょんぴこ
ハゼ系,ちょんぴこ
ハゼっぽい,ちょんぴこ
ちんちん,ちょんぽこ
チンチン,ちょんぽこ
ちんぽこ,ちょんぽこ
チンポコ,ちょんぽこ
ちんぽ,ちょんぽ
チンポ,ちょんぽ
たでしょ。,たっしょ。
結構大きい,てっぱつ
より大きい,てっぱつ
よりデカい,てっぱつ
よりデカイ,てっぱつ
一層大きい,てっぱつ
一層デカい,てっぱつ
一層デカイ,てっぱつ
じゃん。,でん。
じゃん！,でん！
じゃん？,でん？
でしょ。,でん。
でしょ！,でん！
でしょ？,でん？
じゃんかよー。,でんいぇー。
泣き虫,ないびーびー
意気地なし,ないびーびー
おにぎり,にぎぃめし
オニギリ,にぎぃめし
お握り,にぎぃめし
おむすび,にぎぃめし
オムスビ,にぎぃめし
握り飯,にぎぃめし
握飯,にぎぃめし
ニギリメシ,にぎぃめし
握りめし,にぎぃめし
握りメシ,にぎぃめし
あなたとは,にし
あなたとの,にし
あなたは,にし
あなたと,にし
あなたの,にし
あなたを,にし
あなたが,にし
君とは,にし
君との,にし
君は,にし
君と,にし
君の,にし
君を,にし
君が,にし
あなた達,にしら
穴,ねんぽ
もう,はー
いい？,いいけ？
良い？,いいけ？
いいのか？,いいけ？
良いのか？,いいけ？
百足,はがち
むかで,はがち
ムカデ,はがち
チクチクする,はしけぇ
岬の先端,はなっと
岬の先,はなっと
岬の端,はなっと
岬のはし,はなっと
かど,はなっと
びしょびしょ,びたびた
ビショビショ,びたんびたん
びしょ濡れ,びたびた
ビショ濡れ,びたんびたん
びしょぬれ,びたびた
ビショぬれ,びたんびたん
濡れ濡れ,びたびた
ぬれぬれ,びたんびたん
人見知り,ひとみず
人みしり,ひとみず
ヒトミシリ,ひとみず
一日,ひして
冷たい,ひゃっこい
冷たい！,ひゃっこい
冷た！,ひゃっけぇ
冷たっ！,ひゃっけぇ
壊す,ぼっこす
破壊する,ぼっこす
デストロイ,ぼっこす
強く殴る,かっくらす
暴行する,かっくらす
大パンチ,かっくらす
強パンチ,かっくらす
大キック,かっくらす
強キック,かっくらす
それで,ほいで
熱くなる,ほてる
怒る,ほてる
本気で,ほんこん
マジで,ほんこん
強く,ほんこん
力いっぱい,ほんこん
チカラいっぱい,ほんこん
力入れて,ほんこん
チカラ入れて,ほんこん
力込めて,ほんこん
チカラ込めて,ほんこん
ひっくり返っちゃうぞ,ふっくいげっちゃいど
かやの葉,まっこ
真菰の葉,まっこ
もっと,まっと
壊れて外れる,もぢける
歩く,やあんでく
食いしん坊,やあしんぼう
始まっている,やってらぁ
をやろう,やんべぇ
をしよう,やんべぇ
容易なものではない,よいなもんじゃねぇ
容易ではない,よいなもんじゃねぇ
容易でない,よいなもんじゃねぇ
簡単なものではない,よいなもんじゃねぇ
簡単ではない,よいなもんじゃねぇ
簡単でない,よいなもんじゃねぇ
歩いて,やぶ
行く,いぐ
行こうよ,いぐべさ
行こうぜ,いぐべさ
行こうじゃないか,いぐべんねかさ
おいで,やあばっしぇ
お前たち,わら
お前達,わら
御前たち,わら
御前達,わら
お前ら,わら
おまえら,わら
喪前ら,わら
おまえたち,わんだら
あなたたち,わんだら
お前、,わん
お前。,わん
あなた、,わん
あなた。,わん
飲みましょうよ,やんべんね
飲みましょう,やんべんね
呑みましょうよ,やんべんね
呑みましょう,やんべんね
飲もう！,やんべんね
呑もう！,やんべんね
飲む！,やんべんね
呑む！,やんべんね
あれですよね,あんだっぺ
あなたの物ですよね,おめんがだっぺ
だよね,だっぺ
でしたよね,だっぺ
じゃね,だっぺ
なぜ,あーで
何故,あーで
どうして,あーで
ですか？,だかい？
だよ,だーおー
何ですか?,あんだかぃ?
何だ？,あんだか？
どうしてだか,あんだか
なんだか,あんだか
これは,こらぁ
どうやって,あじして
作った,こせえた
何でもないよ,あんでんねぇ
なんでもないよ,あんでんねぇ
嘘,うそっぽ
うそ,うそっぽ
ウソ,うそっぽ
偽り,うそっぽ
偽装,うそっぽ
嘘をついたね,うそっぽかしたっぺ
嘘ついたね,うそっぽかしたっぺ
嘘をついた,うそっぽかした
嘘ついた,うそっぽかした
怖がる,おっかんがる
恐れている,おっかんがる
放り出す,おっぽる
放り出し,おっぽっ
てしまえ,ちゃえ
かな,かし
かなぁ,かし
かなー,かし
作る,こっしぇる
つくる,こっしぇる
こしらえる,こっしぇる
そうではあるが、,だっけん
しかし,だっけん
だけど,だっけん
だけどさあ,だっけんがよー
だけどさぁ,だっけんがよー
見つかる,めっかる
見つかった,めっかった
見つかりましたか,めっかったんかい
見つかりました？,めっかったん？
八幡の祭り,やわたんまっち
八幡のまつり,やわたんまっち
男たち,やんども
おとこたち,やんども
男性陣,やんども
野郎共,やんども
野郎ども,やんども
やろう共,やんども
やろうども,やんども
やりましょう,やんべえ
しましょう,やんべえ
やろうぜ,やんべえ
幾つ,ゆうつ
いくつ,ゆうつ
幾ら,ゆうら
幾ら,ゆうら
ハウマッチ,ゆうら
悪いけど,わりいけんど、
わるいけど,わりいけんど、
申し訳ないですが、,わりいけんど、
すみませんが、,わりいけんど、
すいませんが、,わりいけんど、
申し訳ございませんが、,わりいけんど、
開けっ放し,あいむどうし
開け放し,あいむどうし
あれまあ、,あーいやま、
あらまぁ、,おいやまあ、
オーノー,おいやまあ、
飽きる,あいる
あきる,あいる
飽きちゃった,あいちゃった
あきちゃった,あいちゃった
飽きた,あいる
あきた,あいる
あけび,あえび
お赤飯,あかごはん
開けましょう,あけんべ
開けよう,あけんべ
開けようよ,あけんべさ
悪口,あくてえ
陰口,あくてえ
悪態,あくてえ
どうですか,あじょだーかい
どうしますか,あじょしっかい
どうされますか,あじょしっかい
どうにもこうにも,あじょにもかじょにも
にっちもさっちも,あじょにもかじょにも
あそこ,あそー
あの辺り,あそいらま
口うるさい,あたうっせえ
悪ふざけ,あたごと
迷惑行為,あたごと
迷惑なこと,あたごと
熱い,あちい
厚い,あちい
暑い,あちい
あつい,あちい
とんでもない,あてこともねえ
とんでもねえ,あてこともねえ
ああいうふう,あーふー
ああいう感じの,あーふー
ああいった感じの,あーふー
どうあっても,あんでかんで
どうしても,あんでかんで
なんでもない,あんでんねぇ
何でもない,あんでんねぇ
なんともない,あんとんねぇ
何ともない,あんとんねぇ
何も,あんも
なにも,あんも
ナニも,あんも
何もない,あんもねぇ
何もかも,あんもかんも
なにもかも,あんもかんも
行きなさい！,いがいよ！
動けないよ,いごけねえお
動けねぇ,いごけねぇ
行儀,いざんまい
姿勢,いざんまい
格好,いざんまい
状態が悪い,いっしい
状態の良くない,いっしい
状態のよくない,いっしい
状態の悪い,いっしい
状態が良くない,いっしい
程度が悪い,いっしい
程度の良くない,いっしい
程度の悪い,いっしい
程度が良くない,いっしい
ごちゃまぜ,いっしょくた
一度に,いっちゃく
まとめて,いっちゃく
一緒に,いっちゃく
良いでしょう,いっぺさ
良いと思います,いっぺよ
実家,いへいじょ
痛い,いてぁ
えらく,いらい
えらい,いらい
居る,いん
いるじゃなか,いんだんねお
汚い,うざうざしい
気持ちが悪い,うざうざしい
くどくどうるさい,うざうざしい
くどくど,うざうざしい
少し寒い,うすさみい
薄ら寒い,うすさみい
上手い,うみゃー
うんめえ,うみゃー
うめえ,うみゃー
美味しい,うみゃー
ぬるくする,うめる
水を足す,うめる
お前が,うんが
美味くない,うんまあね
上手くない,うんまあね
美味しくない,うんまあね
美味しくはない,うんまあね
上手でない,うんまあね
上手ではない,うんまあね
美味いなあ,うんめえ
大変な,えれえ
凄い,えれえ
すごい,えれえ
スゴイ,えれえ
スゴい,えれえ
飼い犬,えんころ
犬,えんころ
伊勢えび漁の網,えんぴあみ
よ。,おー
いけないなあ,おいにゃあなぁ
大変な御馳走,おおごっつお
大変なごちそう,おおごっつお
御馳走,ごっつお
ごちそう,ごっつお
西風が強い,おおにし
青大将,あおへび
大変でした,おおぼねでした
陸,おか
私に,おげえ
わたしに,おげえ
ワタシに,おげえ
成熟が遅い,おく
次男,おじい
遅く,おそー
怒られるよ,おだされっど
怒る,おどす
恐い,おっかねぇ
怖い,おっかねぇ
こわい,おっかねぇ
恐ろしい,おっかねぇ
怖ろしい,おっかねぇ
おそろしい,おっかねぇ
ちぇっ、,かっ、
ちぃ、,かっ、
ちっ、,かっ、
ちぇっ！,かっ！
ちぃ！,かっ！
ちっ！,かっ！
それは、,そらぁ、
私のことです。,おっだ。
良くなりました,良くなったっペぇ。
よくなりました,よくなったっペぇ。
↓-=+=-ここからしたの箇所-=+=-↓,文末表現を記載する
したのです。,したっぺぇ。
です。,だっぺぇ。
